dataset	condition	mode	threads	n_runs	median_elapsed_wall_seconds	q1_elapsed_wall_seconds	q3_elapsed_wall_seconds	median_max_rss_kb	median_total_fragments	median_total_bases	speedup_vs_threads1	parallel_efficiency_vs_threads1	notes
cannabis_pink_pepper_plain	B1	fragments_tsv	1	7	3.850000	3.620000	4.150000	489880.000000	154687.000000	27565065.000000	1.000000	1.000000	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B1	fragments_tsv	2	7	4.490000	4.250000	4.560000	487880.000000	154687.000000	27565065.000000	0.857461	0.428731	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B1	fragments_tsv	4	7	4.300000	4.210000	4.980000	488104.000000	154687.000000	27565065.000000	0.895349	0.223837	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B1	fragments_tsv	8	7	4.770000	4.220000	5.220000	488952.000000	154687.000000	27565065.000000	0.807128	0.100891	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B1	json	1	7	3.720000	3.630000	4.130000	487760.000000	154687.000000	27565065.000000	1.000000	1.000000	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B1	json	2	7	3.740000	3.400000	3.940000	490992.000000	154687.000000	27565065.000000	0.994652	0.497326	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B1	json	4	7	3.770000	3.690000	4.400000	487192.000000	154687.000000	27565065.000000	0.986737	0.246684	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B1	json	8	7	3.940000	3.630000	4.630000	488172.000000	154687.000000	27565065.000000	0.944162	0.118020	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B2	fragments_tsv	1	7	4.050000	3.890000	4.260000	444756.000000	18128.000000	6337654.000000	1.000000	1.000000	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B2	fragments_tsv	2	7	5.320000	4.610000	5.870000	429352.000000	18128.000000	6337654.000000	0.761278	0.380639	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B2	fragments_tsv	4	7	5.100000	4.510000	5.180000	466740.000000	18128.000000	6337654.000000	0.794118	0.198529	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B2	fragments_tsv	8	7	4.560000	4.430000	5.180000	462936.000000	18128.000000	6337654.000000	0.888158	0.111020	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B2	json	1	7	4.030000	3.710000	4.380000	429644.000000	18128.000000	6337654.000000	1.000000	1.000000	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B2	json	2	7	3.330000	3.070000	4.900000	430264.000000	18128.000000	6337654.000000	1.210210	0.605105	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B2	json	4	7	4.420000	4.370000	5.580000	446244.000000	18128.000000	6337654.000000	0.911765	0.227941	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
cannabis_pink_pepper_plain	B2	json	8	7	5.870000	4.750000	6.920000	466628.000000	18128.000000	6337654.000000	0.686542	0.085818	speedup and efficiency are calculated within each dataset/condition/mode relative to threads=1
